id,matricule,nom,prenom,telephone,referenciel,duree,status,date,id_promotion
1,p7_devdat_2024_129,Bah,Oumar,771234567,dev_web,05:30,present,2024-04-15,6
2,p8_devdat_2024_130,Camara,Aissatou,778765432,data,07:15,present,2024-04-15,6
3,p9_devdat_2024_131,Dabo,Karim,776543210,dev_web,06:00,absent,2024-04-15,6
4,p10_devdat_2024_132,Diallo,Mariam,770987654,data,05:45,present,2024-04-15,1
5,p11_devdat_2024_133,Fall,Abdou,779876543,data,06:30,absent,2024-04-15,2
6,p11_devdat_2024_133,Gaye,Aminata,779876543,dev_web,06:30,absent,2024-04-15,3
7,p11_devdat_2024_138,Kane,Moussa,779876543,aws,06:30,present,2024-04-15,6
8,p11_devdat_2024_193,Lamine,Khadim,779876543,aws,06:30,absent,2024-04-15,5
9,p11_devdat_2024_135,Mar,Alain,779876543,hack,06:30,present,2024-04-15,4
10,p11_devdat_2024_113,Niang,Moussa,779876543,data,06:30,present,2024-04-15,3
11,p11_devdat_2024_134,Ndiaye,Oumou,779876543,hack,06:30,absent,2024-04-15,5
12,p11_devdat_2024_123,Seck,Amadou,779876543,data,06:30,absent,2024-04-15,6
13,p11_devdat_2024_183,Diagne,Mouhamed,779876543,data,06:30,absent,2024-04-15,6
14,p11_devdat_2024_193,Faye,Fatou,779876543,data,06:30,present,2024-04-15,3
15,p11_devdat_2024_173,Gueye,Awa,779876543,data,08:30,absent,2024-04-15,6
16,p6_devdat_2024_173,Kane,Mamadou,779876543,data,08:30,absent,2024-04-15,6
17,p11_devdat_2024_125,Lo,Moussa,779876543,data,06:30,absent,2024-04-15,6
18,p11_devdat_2024_823,Mbaye,Khadidiatou,779876543,data,06:30,present,2024-04-15,6
19,p11_devdat_2024_193,Sene,Ousmane,779876543,data,08:30,absent,2024-04-15,6
20,p11_devdat_2024_126,Diop,Sokhna,779876543,data,06:30,present,2024-04-15,6
